"pvalues","Fission"
0.192133671377484,"Conditional thinning"
0.0967567902270343,"Marginal thinning"
0.25880569775722,"Conditional thinning"
0.00256644744866923,"Marginal thinning"
0.791625414520982,"Conditional thinning"
0.000194672838704671,"Marginal thinning"
0.249830608803334,"Conditional thinning"
0.00330771069321232,"Marginal thinning"
0.704536943670837,"Conditional thinning"
0.0220540727300302,"Marginal thinning"
0.290670742909063,"Conditional thinning"
0.0663806796287971,"Marginal thinning"
0.379879864221861,"Conditional thinning"
0.0192759241531106,"Marginal thinning"
0.968360212949045,"Conditional thinning"
0.0476034981122614,"Marginal thinning"
0.712868476935542,"Conditional thinning"
0.00287578820183998,"Marginal thinning"
0.896392821059876,"Conditional thinning"
6.86535693680754e-05,"Marginal thinning"
0.733689087232885,"Conditional thinning"
0.00161907724579225,"Marginal thinning"
0.602693042674152,"Conditional thinning"
0.0045988588180514,"Marginal thinning"
0.382420934189405,"Conditional thinning"
0.0119692928154487,"Marginal thinning"
0.728961594454696,"Conditional thinning"
4.73856084942072e-06,"Marginal thinning"
0.696706342306533,"Conditional thinning"
0.00485051112130696,"Marginal thinning"
0.724624681785403,"Conditional thinning"
0.0145551945453034,"Marginal thinning"
0.408434201698248,"Conditional thinning"
0.00190463485438292,"Marginal thinning"
0.817827327956576,"Conditional thinning"
0.00149137616688193,"Marginal thinning"
0.891778715654067,"Conditional thinning"
0.00543029848467297,"Marginal thinning"
0.261520261294102,"Conditional thinning"
0.00148812423134581,"Marginal thinning"
0.426506153381643,"Conditional thinning"
0.0664233327250053,"Marginal thinning"
0.811907259678465,"Conditional thinning"
7.33891675470577e-06,"Marginal thinning"
0.96002547451009,"Conditional thinning"
0.0677372186219995,"Marginal thinning"
0.505593604430397,"Conditional thinning"
0.000791505609294371,"Marginal thinning"
0.968075507206562,"Conditional thinning"
0.000763938255420834,"Marginal thinning"
0.549492074559841,"Conditional thinning"
0.122849048512485,"Marginal thinning"
0.313269207056656,"Conditional thinning"
6.10645244176738e-05,"Marginal thinning"
0.243028584040129,"Conditional thinning"
0.0126398156562817,"Marginal thinning"
0.202515040771101,"Conditional thinning"
2.30691282043133e-05,"Marginal thinning"
0.307138598647457,"Conditional thinning"
0.00384118088954459,"Marginal thinning"
0.890284019051321,"Conditional thinning"
0.00799557943353161,"Marginal thinning"
0.489064773206324,"Conditional thinning"
0.0047335980071091,"Marginal thinning"
0.148242914625639,"Conditional thinning"
0.00540881428329814,"Marginal thinning"
0.94575675285232,"Conditional thinning"
0.087945018253027,"Marginal thinning"
0.20604127372309,"Conditional thinning"
0.000522876494021942,"Marginal thinning"
0.35999116588913,"Conditional thinning"
0.00459438934079997,"Marginal thinning"
0.547712481298794,"Conditional thinning"
0.000934938496406386,"Marginal thinning"
0.945749245917198,"Conditional thinning"
0.00244967424872504,"Marginal thinning"
0.87211023975292,"Conditional thinning"
0.026152556258849,"Marginal thinning"
0.179079252666915,"Conditional thinning"
0.00106072804891585,"Marginal thinning"
0.370391190549767,"Conditional thinning"
0.00957158019753841,"Marginal thinning"
0.461471510256725,"Conditional thinning"
0.0371176318721722,"Marginal thinning"
0.874660827672046,"Conditional thinning"
0.106262116195193,"Marginal thinning"
0.618760597291082,"Conditional thinning"
0.0150073392044809,"Marginal thinning"
0.108484121477595,"Conditional thinning"
0.000174409424796199,"Marginal thinning"
0.805117478726009,"Conditional thinning"
7.11369686118107e-05,"Marginal thinning"
0.975385172355722,"Conditional thinning"
0.000494313261800295,"Marginal thinning"
0.625772317208179,"Conditional thinning"
0.099931757144001,"Marginal thinning"
1,"Conditional thinning"
0.000118070675787814,"Marginal thinning"
0.61375605076652,"Conditional thinning"
0.000395667300215834,"Marginal thinning"
0.10018572707007,"Conditional thinning"
5.48825558343823e-06,"Marginal thinning"
0.533546423666428,"Conditional thinning"
4.4631578876626e-05,"Marginal thinning"
0.483338165884184,"Conditional thinning"
0.000226180792920193,"Marginal thinning"
0.308734750624182,"Conditional thinning"
0.220689452666475,"Marginal thinning"
0.606723024697083,"Conditional thinning"
0.00252105208349112,"Marginal thinning"
0.847045780598921,"Conditional thinning"
0.000282111386768143,"Marginal thinning"
0.505634622289469,"Conditional thinning"
0.0133953240757395,"Marginal thinning"
0.946729971399114,"Conditional thinning"
0.000558122312350145,"Marginal thinning"
0.94539833617074,"Conditional thinning"
0.00717409095137949,"Marginal thinning"
0.0313057481286939,"Conditional thinning"
0.000226156547649253,"Marginal thinning"
0.285205079744055,"Conditional thinning"
0.138909230904267,"Marginal thinning"
0.385979601378712,"Conditional thinning"
0.00117130835768213,"Marginal thinning"
0.29502204382021,"Conditional thinning"
0.00358181385320489,"Marginal thinning"
0.521891083005134,"Conditional thinning"
0.00686333022874163,"Marginal thinning"
0.9301059113753,"Conditional thinning"
0.0104840522984649,"Marginal thinning"
1,"Conditional thinning"
0.00302076454856351,"Marginal thinning"
0.984479369325704,"Conditional thinning"
0.00973170302285605,"Marginal thinning"
0.0334916791134026,"Conditional thinning"
0.322648579235207,"Marginal thinning"
0.680939735951494,"Conditional thinning"
0.00157755431509745,"Marginal thinning"
0.959546964329537,"Conditional thinning"
0.387072522770255,"Marginal thinning"
0.971474562018997,"Conditional thinning"
0.0338126676893072,"Marginal thinning"
0.504153990972412,"Conditional thinning"
0.000228956465496622,"Marginal thinning"
0.011404239417005,"Conditional thinning"
0.125823954430123,"Marginal thinning"
0.394651102275124,"Conditional thinning"
6.7673578403744e-05,"Marginal thinning"
0.141345545600997,"Conditional thinning"
0.56188277002695,"Marginal thinning"
0.992148677078581,"Conditional thinning"
0.00689127249005618,"Marginal thinning"
0.786520717538386,"Conditional thinning"
8.25785400296059e-05,"Marginal thinning"
0.802181678548369,"Conditional thinning"
0.000236219077584188,"Marginal thinning"
0.46126517188352,"Conditional thinning"
0.000421025414064378,"Marginal thinning"
0.377516050080191,"Conditional thinning"
0.0279809209362363,"Marginal thinning"
0.30147205127986,"Conditional thinning"
0.00033929281082697,"Marginal thinning"
0.00561311390243314,"Conditional thinning"
0.00259699737175264,"Marginal thinning"
0.619138750031565,"Conditional thinning"
0.00457841931951213,"Marginal thinning"
0.162193851027203,"Conditional thinning"
3.63331009701808e-05,"Marginal thinning"
0.261652448666062,"Conditional thinning"
0.0298398235906271,"Marginal thinning"
0.991403362406563,"Conditional thinning"
0.00211635470092039,"Marginal thinning"
0.293190818460145,"Conditional thinning"
0.0139997106600431,"Marginal thinning"
0.732731285640056,"Conditional thinning"
0.00268007075501251,"Marginal thinning"
0.469933036342006,"Conditional thinning"
0.168635148195624,"Marginal thinning"
0.508326648597479,"Conditional thinning"
0.014975125651876,"Marginal thinning"
0.0424978346635734,"Conditional thinning"
0.000509451794533673,"Marginal thinning"
0.674336719128384,"Conditional thinning"
0.00111453422268968,"Marginal thinning"
0.65927243336398,"Conditional thinning"
0.0202733094427359,"Marginal thinning"
0.81697122977785,"Conditional thinning"
0.0225363900077486,"Marginal thinning"
0.888143545067799,"Conditional thinning"
0.0310015466449929,"Marginal thinning"
0.338562007127825,"Conditional thinning"
0.00297532301078891,"Marginal thinning"
0.448019338344676,"Conditional thinning"
0.00225610222305807,"Marginal thinning"
0.658442849006986,"Conditional thinning"
0.00549028915205662,"Marginal thinning"
0.868533126241145,"Conditional thinning"
0.00684116618075184,"Marginal thinning"
0.266389829664547,"Conditional thinning"
0.055163637322165,"Marginal thinning"
0.796644499771864,"Conditional thinning"
1.8869548785862e-06,"Marginal thinning"
0.814263255472312,"Conditional thinning"
0.00124176087153742,"Marginal thinning"
0.784955185551396,"Conditional thinning"
6.31776132195572e-05,"Marginal thinning"
0.909428581737883,"Conditional thinning"
0.128679189048611,"Marginal thinning"
0.861092109481982,"Conditional thinning"
0.0613892652841122,"Marginal thinning"
0.0450215405662586,"Conditional thinning"
0.00316173803112641,"Marginal thinning"
0.198312341567253,"Conditional thinning"
2.02355603692201e-05,"Marginal thinning"
0.401583576709011,"Conditional thinning"
0.0195421402600029,"Marginal thinning"
0.356198881851104,"Conditional thinning"
0.000359962988489262,"Marginal thinning"
0.234545195167358,"Conditional thinning"
0.0140420170113322,"Marginal thinning"
0.496064537847405,"Conditional thinning"
4.34724874056893e-05,"Marginal thinning"
0.188223359726387,"Conditional thinning"
0.000185178314911001,"Marginal thinning"
0.324971346497281,"Conditional thinning"
0.0337116143476787,"Marginal thinning"
0.821426262694757,"Conditional thinning"
0.012399539532289,"Marginal thinning"
0.698201758675734,"Conditional thinning"
0.013858136268989,"Marginal thinning"
0.443004541772268,"Conditional thinning"
0.00930328151340785,"Marginal thinning"
0.680408240640561,"Conditional thinning"
0.000184556332455652,"Marginal thinning"
0.856670303321127,"Conditional thinning"
0.109090399697041,"Marginal thinning"
0.345767523706412,"Conditional thinning"
0.0286930117960337,"Marginal thinning"
0.710491336462804,"Conditional thinning"
7.72871198267281e-05,"Marginal thinning"
0.0797375279476088,"Conditional thinning"
7.80322037096909e-05,"Marginal thinning"
0.830576531992419,"Conditional thinning"
0.0332176517381867,"Marginal thinning"
0.952517020187149,"Conditional thinning"
1.97493842821994e-06,"Marginal thinning"
0.494258134695858,"Conditional thinning"
0.000249073329289595,"Marginal thinning"
0.322248027529533,"Conditional thinning"
0.00284842536099292,"Marginal thinning"
0.755727559240664,"Conditional thinning"
0.0122926748629374,"Marginal thinning"
0.967700942128174,"Conditional thinning"
0.218283729452236,"Marginal thinning"
0.945406206865601,"Conditional thinning"
0.00139993589460776,"Marginal thinning"
0.0361869383178849,"Conditional thinning"
0.00145398514270488,"Marginal thinning"
0.892228390847086,"Conditional thinning"
0.0965129515276357,"Marginal thinning"
0.735946902457645,"Conditional thinning"
0.000881938854648809,"Marginal thinning"
0.459084704372777,"Conditional thinning"
0.000674018866814818,"Marginal thinning"
0.475320239393938,"Conditional thinning"
0.00786621629778232,"Marginal thinning"
0.29878917288118,"Conditional thinning"
0.00844527411259893,"Marginal thinning"
0.655924108032882,"Conditional thinning"
0.00286750876919563,"Marginal thinning"
0.884328687954033,"Conditional thinning"
0.00442389779463485,"Marginal thinning"
0.651865029627424,"Conditional thinning"
0.000546917035133742,"Marginal thinning"
0.30231217537553,"Conditional thinning"
